season,Match_date,city,team1,team2,winner,toss_winner,toss_decision,win_by_runs,win_by_wickets
2009,2009/02/27,Wellington,New Zealand , India,New Zealand ,New Zealand ,field,,5
2009,2009/03/15,Port of Spain,West Indies ,England,England,England,bat,,6
2009,2009/03/27,Johannesburg,South Africa,Australia,South Africa,South Africa,field,,4
2009,2009/03/29,Centurion,South Africa,Australia,South Africa,Australia,field,17,
2009,2009/05/07,Dubai (DSC),Australia , Pakistan, Pakistan, Pakistan,bat,,7
2009,2009/06/05,Lord's,England,Netherlands,Netherlands,Netherlands,field,,4
2009,2009/06/06,The Oval,Australia ,West Indies,West Indies,Australia ,bat,,7
2009,2009/06/06,Nottingham,Bangladesh, India, India, India,bat,25,
2009,2009/06/06,The Oval,New Zealand ,Scotland,New Zealand ,New Zealand ,field,,7
2009,2009/06/07,The Oval,England, Pakistan,England, Pakistan,field,48,
2009,2009/06/07,The Oval,Scotland ,South Africa,South Africa,Scotland ,field,130,
2009,2009/06/08,Nottingham,Australia , Sri Lanka, Sri Lanka, Sri Lanka,field,,6
2009,2009/06/08,Nottingham,Bangladesh ,Ireland,Ireland,Ireland,field,,6
2009,2009/06/09,Lord's,Netherlands ,Pakistan,Pakistan,Pakistan,bat,82,
2009,2009/06/09,Lord's,New Zealand , South Africa, South Africa,New Zealand ,field,1,
2009,2009/06/10,Nottingham,India ,Ireland,India ,India ,field,,8
2009,2009/06/10,Nottingham,Sri Lanka , West Indies,Sri Lanka , West Indies,field,15,
2009,2009/06/11,Nottingham,England,South Africa,South Africa,England,bat,,7
2009,2009/06/11,Nottingham,Ireland ,New Zealand,New Zealand,Ireland ,field,83,
2009,2009/06/12,Lord's,India ,West Indies,West Indies,India ,bat,,7
2009,2009/06/12,Lord's,Pakistan ,Sri Lanka,Sri Lanka,Sri Lanka,bat,19,
2009,2009/06/13,The Oval,New Zealand , Pakistan, Pakistan,New Zealand ,bat,,6
2009,2009/06/13,The Oval,South Africa, West Indies,South Africa, West Indies,field,20,
2009,2009/06/14,Lord's,England,India,England,India,field,3,
2009,2009/06/14,Lord's,Ireland ,Sri Lanka,Sri Lanka,Sri Lanka,bat,9,
2009,2009/06/15,The Oval,England, West Indies, West Indies,England,bat,,5
2009,2009/06/15,The Oval,Ireland ,Pakistan,Pakistan,Pakistan,bat,39,
2009,2009/06/16,Nottingham,India ,South Africa,South Africa,South Africa,bat,12,
2009,2009/06/16,Nottingham,New Zealand , Sri Lanka, Sri Lanka, Sri Lanka,bat,48,
2009,2009/06/18,Nottingham,Pakistan ,South Africa,Pakistan ,Pakistan ,bat,7,
2009,2009/06/19,The Oval,Sri Lanka ,West Indies,Sri Lanka ,West Indies,field,57,
2009,2009/06/21,Lord's,Pakistan ,Sri Lanka,Pakistan ,Sri Lanka,bat,,8
2009,2009/08/02,Basseterre,West Indies,Bangladesh,West Indies,Bangladesh,bat,,5
